what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1489891121418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891123199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891127105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891142355
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489891173060
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489891176684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891208512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891242935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1489891263920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891264967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891265654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891304608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1489891311045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891313592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891315999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891319592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891322202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891322827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891331639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891369736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891374135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891375531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891376539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891377422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891377789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891379188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891387050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891388319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891391894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891398687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891403138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891405034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489891415520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489891416240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1489891421055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891421643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891423462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891424553
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1489891425561
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1489891425619
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1489891425666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891435260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891441954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891463543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891464327
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1489891464536
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1489891464558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1489891469458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891472342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891479332
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891479897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891485088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891489732
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489891490685
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1489891490893
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1489891490914
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1489891491056
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1489891491056
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1489891492303
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1489891496255
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1489891499110
opened,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.DeviceView",1489891502069
activated,perspective,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.Perspective",1489891502114
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.DeviceView",1489891505439
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1489891514886
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1489891514894
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489891516336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891523200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891532566
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1489891536131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891542006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891560213
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489891562423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1489891580370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891582184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891588527
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1489891594574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891596240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489891598754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489891599568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891609808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891610529
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489891611823
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1489891615751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489891625140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489892343485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489892345082
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489892352165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489892355377
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489892358980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489892369122
