what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920332455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920340033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920349158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920362190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920387425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920405612
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920411612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920431831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920432956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920469613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920470285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920476129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920479129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920516970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1490920524416
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920525035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490920539549
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920540364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920548279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920561030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490920563304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920564080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920575919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920596520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1490920601005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1490920602083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1490920604317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920605114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920613974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920623208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920663412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490920669240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920681100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920734850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490920741007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490921158932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490921159276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490921160182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490921163323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490921163963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490921164541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490921699398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490921702727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490923397900
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490923400275
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490923409462
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1490923409650
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490923409681
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490923421759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490923430494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490923648842
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490923649935
